old_name,new_name
LM.NA_NLC_NGHI_THIET_3$NA_NLC_NGHI_THIET.kml,NA_NLC_NGHI_THIET_3-NA_NLC_NGHI_THIET.kml
LM.NA_NLC_NGHI_THINH$NA_NLC_QUAN_HANH.kml,NA_NLC_NGHI_THINH-NA_NLC_QUAN_HANH.kml
LM.NA_NLC_NGHI_THINH_01R$NA_NLC_NGHI_THINH.kml,NA_NLC_NGHI_THINH_01R-NA_NLC_NGHI_THINH.kml
LM.NA_NLC_NGHI_TIEN$NA_NLC_NGHI_THIET_2.kml,NA_NLC_NGHI_TIEN-NA_NLC_NGHI_THIET_2.kml
LM.NA_NLC_NGHI_TRUONG$NA_NLC_NGHI_AN.kml,NA_NLC_NGHI_TRUONG-NA_NLC_NGHI_AN.kml
LM.NA_NLC_NGHI_AN$NA_NLC_NGHI_TRUONG_2.kml,NA_NLC_NGHI_TRUONG_2-NA_NLC_NGHI_AN.kml
LM.NA_NLC_NGHI_VAN_2$NA_NLC_NGHI_VANJ.kml,NA_NLC_NGHI_VAN_2-NA_NLC_NGHI_VANJ.kml
LM.NA_NLC_NGHI_VAN_3$NA_DLG_DAI_SON.kml,NA_NLC_NGHI_VAN_3-NA_DLG_DAI_SON.kml
LM.NA_NLC_NGHI_QUANG$NA_NLC_NGHI_XA.kml,NA_NLC_NGHI_XA-NA_NLC_NGHI_QUANG.kml
LM.NA_NLC_NGHI_LOC$NA_NLC_NGHI_YEN.kml,NA_NLC_NGHI_YEN-NA_NLC_NGHI_LOC.kml
LM.NA_NLC_TRAI_GAO$NA_NLC_NGHI_MY.kml,NA_NLC_TRAI_GAO-NA_NLC_NGHI_MY.kml
LM.NA_NLC_BAI_LU$NA_NLC_NGHI_LOC.kml,NA_NLC_BAI_LU-NA_NLC_NGHI_LOC.kml
CSG5.NA_NLC_CN_NAM_CAM_2$NA_NLC_NGHI_THUAN_2.kml,NA_NLC_CN_NAM_CAM_2-NA_NLC_NGHI_THUAN_2.kml
CSG6.NA_VIH_BV_DA_KHOA_NGHE_AN$NA_NLC_NGHI_AN.kml,NA_NLC_NGHI_AN-NA_VIH_BV_DA_KHOA_NGHE_AN.kml
CSG8.NA_NLC_NGHI_THUAN_2$NA_NLC_NGHI_DONG.kml,NA_NLC_NGHI_DONG-NA_NLC_NGHI_THUAN_2.kml
CSG5.NA_NLC_NGHI_HOP$NA_NLC_NGHI_QUANG.kml,NA_NLC_NGHI_HOP-NA_NLC_NGHI_QUANG.kml
CSG7.NA_NLC_NGHI_LIEN$NA_VIH_DANG_THAI_MAI.kml,NA_NLC_NGHI_LIEN-NA_VIH_DANG_THAI_MAI.kml
CSG5.NA_NLC_CN_NAM_CAM_2$NA_NLC_NGHI_QUANG.kml,NA_NLC_NGHI_QUANG-NA_NLC_CN_NAM_CAM_2.kml
CSG4.NA_NLC_NGHI_THAI_2$NA_NLC_NGHI_XUAN.kml,NA_NLC_NGHI_THAI_2-NA_NLC_NGHI_XUAN.kml
CSG7.NA_NLC_NGHI_THUAN_2$NA_NLC_QUAN_HANH.kml,NA_NLC_NGHI_THUAN_2-NA_NLC_QUAN_HANH.kml
CSG8.NA_NLC_NGHI_PHUONG$NA_NLC_NGHI_THUAN_2.kml,NA_NLC_NGHI_THUAN_2-NA_NLC_NGHI_PHUONG.kml
AGG.NA_NLC_NGHI_THUAN_2$NA_DCU_DIEN_CHAU.kml,NA_NLC_NGHI_THUAN_2-NA_DCU_DIEN_CHAU.kml
CSG4.NA_NLC_NGHI_XUAN$NA_CLO_CUA_HOI.kml,NA_NLC_NGHI_XUAN-NA_CLO_CUA_HOI.kml
CSG7.NA_NLC_QUAN_HANH$NA_NLC_NGHI_LIEN.kml,NA_NLC_QUAN_HANH-NA_NLC_NGHI_LIEN.kml
LM.NA_NLC_NGHI_THINH$NA_NLC_NGHI_THINH_2.kml,NA_NLC_NGHI_THINH_2-NA_NLC_NGHI_THINH.kml
LM.NA_NLC_NGHI_LONG_4$NA_NLC_CN_NAM_CAM.kml,NA_NLC_NGHI_LONG_4-NA_NLC_CN_NAM_CAM.kml
LM.NA_NAD_NGHIA_AN$NA_NAD_NGHIA_KHANH_2.kml,NA_NAD_NGHIA_AN-NA_NAD_NGHIA_KHANH_2.kml
LM.NA_NAD_NGHIA_BINH_3$NA_NAD_NGHIA_BINH.kml,NA_NAD_NGHIA_BINH-NA_NAD_NGHIA_BINH_3.kml
LM.NA_NAD_NGHIA_BINH_3$NA_NAD_TT_NGHIA_DAN.kml,NA_NAD_NGHIA_BINH_3-NA_NAD_TT_NGHIA_DAN.kml
